org8code_year,Yr,org4code,org8code,DistName,4 Year Cohort Total,4 Year Graduation Percent,5 Year Cohort Total,5 Year Graduation Percent,Mass Core Completion Count,Mass Core Completion Percent,Chronic Absence Count,Chronic Absence Percent,College Enrollment Count,College Persistence Count,College Enrollment Percent,College Persistence Percent,Out of School Suspension Count,Out of School Suspension Percent,Passed All 9th Grade Courses Count,Passed All 9th Grade Courses Percent,Enrolled in AP/IB Course Count,Enrolled in AP/IB Course Percent
00490000_2016,2016,49,490000,Cambridge,490,88.8,Null,Null,412,92,1933,29.4,Null,Null,Null,Null,1937,3.5,473,83.9,943,50
00500000_2011,2011,50,500000,Canton,201,95.5,201,96.5,Null,Null,Null,Null,197,197,84.26395939,79.69543147,Null,Null,Null,Null,Null,Null
00500000_2012,2012,50,500000,Canton,219,96.8,219,98.6,149,69.6,923,13.8,214,214,78.03738318,72.89719626,Null,Null,228,90.4,452,34
00500000_2013,2013,50,500000,Canton,246,93.9,246,93.9,195,85.5,942,13.3,228,228,77.19298246,72.80701754,919,5.3,227,87.7,448,36
00500000_2014,2014,50,500000,Canton,211,95.7,211,95.7,179,85.6,903,12.3,209,209,78.46889952,71.77033493,873,3.4,209,88.5,438,45
00500000_2015,2015,50,500000,Canton,231,96.1,231,96.1,196,89.5,935,12.6,219,219,84.01826484,80.82191781,937,2.8,250,86.8,457,48
00500000_2016,2016,50,500000,Canton,236,94.9,Null,Null,195,85.2,955,11.8,Null,Null,Null,Null,964,4,236,91.5,448,64
00520000_2011,2011,52,520000,Carver,123,86.2,123,86.2,Null,Null,Null,Null,109,109,72.47706422,60.55045872,Null,Null,Null,Null,Null,Null
00520000_2012,2012,52,520000,Carver,125,83.2,125,84,105,100,556,12.2,105,105,66.66666667,60,Null,Null,127,70.1,244,46
00520000_2013,2013,52,520000,Carver,149,83.9,149,83.9,123,97.6,545,11.7,126,126,58.73015873,51.58730159,542,3.3,117,81.2,249,44
00520000_2014,2014,52,520000,Carver,119,95,119,95,115,100,516,12.4,115,115,68.69565217,58.26086957,515,6.8,120,83.3,215,31
00520000_2015,2015,52,520000,Carver,106,92.5,106,92.5,95,100,458,20.3,95,95,69.47368421,61.05263158,466,9.9,127,78,201,35
00520000_2016,2016,52,520000,Carver,107,88.8,Null,Null,96,100,438,18,Null,Null,Null,Null,445,9.2,100,81,214,44
00550000_2011,2011,55,550000,Chatham,54,92.6,54,92.6,Null,Null,Null,Null,50,50,74,62,Null,Null,Null,Null,Null,Null
00550000_2012,2012,55,550000,Chatham,50,98,50,98,49,100,183,18,49,49,67.34693878,61.2244898,Null,Null,28,78.6,108,25
00560000_2011,2011,56,560000,Chelmsford,412,93,412,94.4,Null,Null,Null,Null,384,384,82.29166667,78.64583333,Null,Null,Null,Null,Null,Null
00560000_2012,2012,56,560000,Chelmsford,418,93.8,418,94.3,398,100,1650,7.6,398,398,83.41708543,78.14070352,Null,Null,430,88.4,782,39
00560000_2013,2013,56,560000,Chelmsford,404,93.8,404,93.8,381,100,1645,7.8,381,381,82.67716535,80.31496063,1616,2.6,418,95,762,31
00560000_2014,2014,56,560000,Chelmsford,391,94.9,391,94.9,372,100,1623,9,372,372,81.1827957,74.7311828,1601,1.1,363,97.8,801,32
00560000_2015,2015,56,560000,Chelmsford,438,93.6,438,93.6,407,100,1594,10.9,407,407,85.995086,79.36117936,1601,0.5,381,94.8,845,32
00560000_2016,2016,56,560000,Chelmsford,433,94.5,Null,Null,415,100,1529,10.9,Null,Null,Null,Null,1532,1.6,343,95.9,804,38
00570000_2011,2011,57,570000,Chelsea,372,54.6,372,59.7,Null,Null,Null,Null,235,235,41.27659574,27.65957447,Null,Null,Null,Null,Null,Null
00570000_2012,2012,57,570000,Chelsea,360,58.3,360,67.5,207,87.3,1544,33.3,237,237,49.78902954,38.8185654,Null,Null,369,45.5,596,28
00570000_2013,2013,57,570000,Chelsea,328,70.1,328,70.1,188,74,1582,32.9,254,254,48.42519685,37.79527559,1522,17.1,410,45.1,613,30
00570000_2014,2014,57,570000,Chelsea,371,67.1,371,67.1,5,2,1614,30.1,255,255,59.21568627,44.70588235,1588,17.4,464,34.9,625,29
00570000_2015,2015,57,570000,Chelsea,345,69.3,345,69.3,240,99.2,1655,33.3,241,241,63.90041494,49.37759336,1670,7.7,574,39.2,622,31
